"date","status","candidate_type","count"
"2010-01-01","Not Interviewed","nurse",2
"2010-01-01","Final Sign","nurse",0
"2010-01-02","Not Interviewed","nurse",2
"2010-01-02","Final Sign","nurse",0
"2010-01-03","Not Interviewed","nurse",2
"2010-01-03","Final Sign","nurse",0
"2010-01-04","Not Interviewed","nurse",2
"2010-01-04","Final Sign","nurse",0
"2010-01-05","Not Interviewed","nurse",2
"2010-01-05","Final Sign","nurse",0
"2010-01-06","Not Interviewed","nurse",2
"2010-01-06","Final Sign","nurse",0
"2010-01-07","Not Interviewed","nurse",2
"2010-01-07","Final Sign","nurse",0
"2010-01-08","Not Interviewed","nurse",2
"2010-01-08","Final Sign","nurse",0
"2010-01-09","Not Interviewed","nurse",2
"2010-01-09","Final Sign","nurse",0
"2010-01-10","Not Interviewed","nurse",1
"2010-01-10","Final Sign","nurse",1
"2010-01-11","Not Interviewed","nurse",1
"2010-01-11","Final Sign","nurse",1
"2010-01-12","Not Interviewed","nurse",1
"2010-01-12","Final Sign","nurse",1
"2010-01-13","Not Interviewed","nurse",1
"2010-01-13","Final Sign","nurse",1
"2010-01-14","Not Interviewed","nurse",1
"2010-01-14","Final Sign","nurse",1
"2010-01-15","Not Interviewed","nurse",2
"2010-01-15","Final Sign","nurse",1
"2010-01-16","Not Interviewed","nurse",1
"2010-01-16","Final Sign","nurse",2
"2010-01-17","Not Interviewed","nurse",1
"2010-01-17","Final Sign","nurse",2
"2010-01-18","Not Interviewed","nurse",1
"2010-01-18","Final Sign","nurse",2
"2010-01-19","Not Interviewed","nurse",1
"2010-01-19","Final Sign","nurse",2
"2010-01-20","Not Interviewed","nurse",1
"2010-01-20","Final Sign","nurse",2
"2010-01-21","Not Interviewed","nurse",1
"2010-01-21","Final Sign","nurse",2
"2010-01-22","Not Interviewed","nurse",1
"2010-01-22","Final Sign","nurse",2
"2010-01-23","Not Interviewed","nurse",1
"2010-01-23","Final Sign","nurse",2
"2010-01-24","Not Interviewed","nurse",1
"2010-01-24","Final Sign","nurse",2
"2010-01-25","Not Interviewed","nurse",1
"2010-01-25","Final Sign","nurse",2
"2010-01-26","Not Interviewed","nurse",1
"2010-01-26","Final Sign","nurse",2
"2010-01-27","Not Interviewed","nurse",1
"2010-01-27","Final Sign","nurse",2
"2010-01-28","Not Interviewed","nurse",1
"2010-01-28","Final Sign","nurse",2
"2010-01-29","Not Interviewed","nurse",1
"2010-01-29","Final Sign","nurse",2
"2010-01-30","Not Interviewed","nurse",1
"2010-01-30","Final Sign","nurse",2
"2010-01-31","Not Interviewed","nurse",1
"2010-01-31","Final Sign","nurse",2
